JobNumber,JobDescription,0010,0011,0012,0013,AN01,AN02,AN03,AN04,AN05,AN06,AN07,AN08,AN09,BD01,CO01,CO02,CO05,CO06,CO07,CO08,CO09,CP01,CP02,CP03,CP04,CP05,CP06,CP07,DA01,DA02,DA03,DC01,DC02,DC03,DC04,DC05,DC06,DC07,DC08,DC09,DT01,DT02,DT03,DT04,DT05,DT06,DT07,DT08,DT09,EN01,FB01,HO02,HO03,HO04,HO05,HO06,HO07,HO08,HO09,HO10,HO11,HO12,HS01,HS02,HS03,HS04,IM01,IM02,MD01,MD02,MG01,OM01,OM02,OM03,SB01,SB02,SB03,SB04,SE01,SE02,SE03,SE04,SE05,SE06,SE07,SE08,SE09,SE10,SE11,SE12,SS01,ST01,ST02,ST03,SW01,SW02,SW03,SW04,SW05,SW06,SX01,SX02,SX03,SX04,SX05,SX06,TC01,TC02,TC03,TC04,TC05,TD01,TD02,TD03,TO01,TR01,TR02,TR03,TS01,TS02,TS03,TS04,TS05,TX01,UA01,VL01,VL02,WI01,WR01,Z01
100000B,HSS ERPB,0,0,0,0,0,0,0,0,8.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,11.0,0.0,7.0,4.0,0.0,0.0,0,8.0,3.0,0.0,17.5,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0.0,0.0,0
100100B,HSS - 3rd floor,0,0,0,0,0,0,0,1,6.0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,10.0,2.0,3.5,45.0,0.0,0.0,0,40.0,137.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,6,0,0,0,0,11,0,0.0,0.0,0
100200B,Empire State Realty Trust,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,4,0.0,19.0,6.0,21.0,54.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,6.0,0,0,0,0,2,0,2,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,4,0,0,12,0,0.0,0.0,0
100300B,UBS - 13th floor,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,4.0,4.0,8.0,0.0,0.0,0.0,0,18.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
100400B,LIU Vet School,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
100500B,Tangram Plaza Con-Ed Vaults,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,15.0,0.0,0.0,14.0,0.0,0.0,0,108.0,28.0,0.0,0.0,0,0,0,0.0,1,0,0,0,0.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
100600B,Keybank - 36th floor,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,6.0,0.0,16.0,9.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,2.0,0
100700B,Wyandanch Rising Building E-1,0,0,0,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,9.0,0,0,0,0.0,0,0,0,6,0.0,83.0,15.0,160.5,183.5,0.0,16.0,0,180.5,215.0,8.0,17.0,0,0,0,1.0,1,0,0,0,0.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,138,0,14.0,0,0,0,0,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,282,0,31.0,0.0,0
100800B,City Point Tower 3,0,0,0,0,0,0,0,53,84.0,4,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,176,0,44,0,0,0,0,0,0,0,0,0,0,-4.0,0,0,0,0.0,0,0,0,83,970.0,455.5,346.5,1384.5,739.5,721.0,140.0,16,1660.5,7008.0,0.0,63.0,19,19,0,3.0,68,3,0,0,8.0,119.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,9,1,2,0,105.0,50,89,0,0,50,3,7,62,0,0,0,32,0,0,3,0,0,0,0,0,0,0,230,76,138,0,0,0,23,151,0,63.0,4.0,0
100900B,Mt. Sinai Annenberg - 7th fl,0,0,0,0,0,0,0,4,4.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,8.5,0.0,0.0,36.0,0.0,0.0,0,24.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0.0,0.0,0
