JobNumber,JobDescription,Master_Controllers,Field_Controllers,Sensors,Panels,Software,Computers,HO02,HO03,HO04,HO05,HO06,HO07,HO08,HO09,HO10,HO11,HO12
100000B,HSS ERPB,0.0,1635.44,469.9,0.0,0.0,0.0,401.15,0.0,265.16,587.47,0.0,0.0,0.0,223.63,83.87,0.0,1078.72
100100B,HSS - 3rd floor,1719.54,1315.85,1603.81,0.0,0.0,0.0,359.5,90.31,214.49,1892.49,0.0,0.0,0.0,1936.88,4997.82,0.0,0.0
100200B,Empire State Realty Trust,1774.59,1007.12,4905.380000000001,305.37,0.0,0.0,988.62,272.38,915.42,1737.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100300B,UBS - 13th floor,0.0,0.0,0.0,0.0,0.0,0.0,167.31,199.46,246.16,0.0,0.0,0.0,0.0,475.63,0.0,0.0,0.0
100400B,LIU Vet School,1048.69,0.0,0.0,0.0,0.0,0.0,177.29,0.0,0.0,589.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100500B,Tangram Plaza Con-Ed Vaults,0.0,0.0,6661.25,0.0,0.0,0.0,444.88,0.0,0.0,850.9,0.0,0.0,0.0,4523.13,1137.58,0.0,0.0
100600B,Keybank - 36th floor,0.0,0.0,0.0,0.0,0.0,0.0,472.82,0.0,1395.4,830.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100700B,Wyandanch Rising Building E-1,1779.62,3334.89,28797.29,599.65,1238.55,0.6393875,3972.46,814.78,6870.46,11782.45,0.0,750.54,0.0,7427.42,7700.73,340.72,1121.4
100800B,City Point Tower 3,33618.39,36991.63,192062.49000000002,6599.97,3306.63,1.6838624999999998,30240.15,15039.02,82871.76,63939.46,20209.72,9884.68,1058.3,74443.32,219525.41,0.0,3692.07
100900B,Mt. Sinai Annenberg - 7th fl,0.0,1708.8000000000002,821.6700000000001,0.0,0.0,0.0,403.25,0.0,0.0,1319.15,0.0,0.0,0.0,633.77,0.0,0.0,0.0
101100B,Chrystie Street - 18th fl,0.0,1022.71,0.0,0.0,0.0,0.0,208.14,0.0,267.72,688.83,0.0,0.0,0.0,481.82,0.0,0.0,195.73
101200B,745 5th Avenue - 16th & 24th f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101300B,230 Park Ave BMS Refurbishment,3762.95,0.0,0.0,0.0,2424.1,1.06765625,208.14,0.0,4865.11,1883.11,0.0,0.0,0.0,1796.25,883.8,0.0,493.13
101400B,Sirius XM Generator Rplcmnt,1590.78,0.0,0.0,219.22,0.0,0.0,2501.42,292.97,3250.8,5508.44,0.0,0.0,0.0,2341.76,574.23,0.0,185.96
101500B,95 Morton VFD (Dup Job#802807),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101900B,Bryan Cave,7098.39,34495.51,13708.859999999999,856.66,4221.63,1.06765625,2554.35,0.0,10756.18,14193.74,247.75,0.0,0.0,3769.36,2187.19,0.0,5901.29
102100B,Mercado Food Hall (HY Market),5619.01,11762.62,29018.65,855.54,3208.46,1.27749375,9146.56,1713.24,10923.7,12910.34,0.0,0.0,0.0,16072.56,7228.54,0.0,2424.96
102200B,LIU - POST Pell Hall,0.0,1453.86,7377.739999999999,0.0,2214.0,0.0,930.69,1217.74,2959.42,5715.4,0.0,404.24,0.0,0.0,0.0,382.96,2830.19
102300B,LIU - Post,2169.34,0.0,1077.94,0.0,2214.0,0.0,930.69,144.16,3132.96,3855.61,0.0,598.84,0.0,0.0,94.58,0.0,0.0
102400B,HSS - Brooklyn,3327.29,14478.080000000002,9017.43,166.26,2261.11,0.0,10966.38,809.09,4068.43,2920.83,0.0,0.0,0.0,1158.39,15502.52,0.0,0.0
102500B,CBRE 444 Madison 34Fl,0.0,2711.08,2088.66,0.0,0.0,0.0,1121.84,295.08,1424.16,2335.45,0.0,0.0,0.0,1494.38,1159.22,0.0,0.0
102700B,PSEG - 3rd fl Plaza Window,0.0,0.0,0.0,0.0,0.0,0.0,97.52,0.0,0.0,448.59,0.0,0.0,0.0,445.97,159.88,0.0,0.0
102800B,1301 6th Avenue,0.0,0.0,3284.7,0.0,0.0,0.0,133.42,0.0,0.0,424.7,0.0,0.0,0.0,269.46,0.0,0.0,0.0
102900B,ESRT,0.0,0.0,446.31,0.0,0.0,0.0,0.0,553.22,0.0,83.41,0.0,0.0,0.0,774.18,553.22,0.0,0.0
103100B,230 Park Avenue South,0.0,3013.0,25086.29,0.0,0.0,0.0,939.73,135.47,1199.76,6865.78,514.58,0.0,0.0,2973.83,8744.56,667.68,369.23
103200B,RXR - 29th & 30th floors,0.0,917.08,112.49,0.0,0.0,0.0,0.0,0.0,297.48,172.26,0.0,0.0,0.0,162.75,0.0,0.0,0.0
103300B,Mt. Sinai - Annenberg,0.0,1622.12,2061.2,0.0,320.49,0.0,586.69,0.0,1708.28,2174.91,0.0,0.0,0.0,2249.81,392.1,0.0,467.78
103500B,RXR - 16th fl,2594.76,6901.33,2551.7599999999998,0.0,0.0,0.0,556.24,67.73,1058.31,1499.98,0.0,0.0,0.0,1299.01,222.43,0.0,273.34
103600B,Estee Lauder,1872.85,156.93,741.98,0.0,0.0,0.0,818.71,171.36,1195.77,0.0,0.0,121.39,0.0,1754.33,420.1,0.0,0.0
103700B,909 3rd Avenue,0.0,0.0,0.0,0.0,0.0,0.0,82.39,0.0,72.58,529.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103900B,FDNY & Pre-built Suite,0.0,204.28,5157.9400000000005,0.0,0.0,0.0,669.23,0.0,0.0,1824.83,0.0,0.0,0.0,3535.17,1035.22,0.0,0.0
104000B,Rock Center Base Bldg Metering,0.0,665.66,0.0,0.0,0.0,0.0,771.15,2047.48,1762.38,6690.79,0.0,0.0,0.0,6542.32,0.0,0.0,8483.85
104100B,Humanscale - BMS Work,0.0,1022.15,272.45,0.0,374.85,0.0,0.0,0.0,0.0,318.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104200B,111 E. 59th Street,0.0,203.55,1450.0,166.87,0.0,0.0,266.94,90.31,1168.11,1476.25,0.0,0.0,0.0,679.82,208.16,0.0,0.0
